SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
CC1(C)S[C@H]([C@@H](CO)C(=O)O)N[C@H]1C(=O)O,0.0,106.86,5,1.2325,4
N[C@@H](C(=O)N[C@@H](Cc1cccc(C(=O)O)c1)B(O)O)c1ccccc1,42.46456947923127,132.88,5,0.0,5
CC1=C(C(=O)O)N[C@@H]([C@H](NC(=O)[C@H](N)c2ccccc2)C(=O)OC[C@H](N)C(=O)O)SC1,30.33183534230805,194.07,9,1.1827082283530694,6
C=C1CS[C@H]([C@@](C=O)(NC(=O)Cc2cccs2)OC)N=C1C(=O)O,12.645302752060108,105.06000000000002,7,2.6003601187439567,2
O=C(Cc1ccc(I)cc1)NC[P@H](=O)O,12.13273413692322,66.4,2,2.1846181237493467,2
C/C=C(/C=O)[C@@H]1NC(C(=O)O)=C2[C@@H](OC)CCC[C@@H]21,6.076020106833881,75.63000000000001,4,0.0,2
CCCCO[C@@H]1CCC[C@@H]2C1=C(C(=O)O)N[C@@H]2[C@H](C=O)CC,20.268296022307258,75.63,4,0.0,2
NC(=O)/C=C/C(C[SH](=O)=O)=C(/Nc1c(C=O)cc2ccccn12)C(=O)O,12.142387175295491,148.04,7,0.0,4
CO/N=C(\C(=O)NCP(=O)(O)O)c1csc(N)n1,5.15571272675054,147.13,7,1.0963585364701434,4
O=C(CI)Nc1cccc(B(O)O)c1,34.723604763991275,69.56,3,1.9514852481733436,3
Cn1cc([C@H]2SC=C(C(=O)O)NC=C2C=O)nn1,5.213385095654868,97.11000000000001,7,1.1988425925925923,2
O=C(Cc1cccs1)N[C@@H](Cc1cccc(C(=O)O)c1)B(O)O,18.19910120538483,106.86000000000001,5,1.4447781504577137,4
O=C(Cc1cccs1)N[C@@H](Cn1cc(-c2cccc(C(=O)O)c2)nn1)B(O)O,23.4124863010397,137.57,8,1.4396200670988728,4
O=P(O)(O)OB(O)CNS(=O)(=O)c1ccc(-c2nnn[nH]2)cc1,0.0,187.61999999999998,8,0.0,5
O=P(O)(O)OB(O)CNS(=O)(=O)c1ccc(-c2nnn[nH]2)nc1,0.0,200.51,9,0.0,5
O=C(O)c1cccc(CS(=O)(=O)NCB(O)OP(=O)(O)O)c1,12.13273413692322,170.45999999999998,6,0.0,5
O=P(O)(O)OB(O)CNS(=O)(=O)c1ccc(-c2nnn[nH]2)cc1C(F)(F)F,0.0,187.61999999999998,8,0.0,5
O=C(O)c1cn(CB(O)OP(=O)(O)O)nn1,5.213385095654868,155.0,7,0.0,4
CC(C)(O/N=C(\C(=O)NCB(O)OP(=O)(O)O)c1csc(N)n1)C(=O)O,5.15571272675054,213.89000000000001,10,0.9789453626313291,6
